Time,Actual Shipment,Desired Shipment,Production Start,Desired Production Start,Actual WIP,Desired WIP,Actual Production,Desired Production,Actual Inventory,Desired Inventory
13.9,12441.26852,11864.57057,13417.46066,13417.46066,102370.7121,103364.5067,12015.32744,12920.56334,32800.95291,45388.48653
14,12448.04,11870.75046,13399.13904,13399.13904,102510.9254,103447.3628,12048.76008,12930.92035,32816.02859,45421.13045
14.1,12454.50247,11876.98966,13380.93675,13380.93675,102645.9633,103526.2694,12081.72644,12940.78368,32833.82956,45453.36632
14.2,12460.65299,11883.28089,13362.86691,13362.86691,102775.8843,103601.2945,12114.21187,12950.16181,32854.30323,45485.19924
14.3,12466.48895,11889.61701,13344.94161,13344.94161,102900.7498,103672.5064,12146.20262,12959.0633,32877.39633,45516.63425
14.4,12472.0081,11895.99108,13327.17195,13327.17195,103020.6237,103739.9741,12177.68579,12967.49676,32903.05489,45547.67632
14.5,12477.20854,11902.39633,13309.56806,13309.56806,103135.5723,103803.7667,12208.64939,12975.47084,32931.22436,45578.33037
14.6,12482.08873,11908.82619,13292.13919,13292.13919,103245.6642,103863.9541,12239.08225,12982.99426,32961.84967,45608.60124
14.7,12486.64742,11915.27424,13274.89375,13274.89375,103350.9699,103920.6059,12268.97407,12990.07574,32994.87527,45638.49372
14.8,12490.8837,11921.73428,13257.83933,13257.83933,103451.5619,103973.7924,12298.31539,12996.72405,33030.24526,45668.01255
14.9,12494.79699,11928.20026,13240.98277,13240.98277,103547.5142,104023.5838,12327.09756,13002.94798,33067.90337,45697.1624
15,12498.38698,11934.66632,13224.33018,13224.33018,103638.9028,104070.0505,12355.31276,13008.75631,33107.7931,45725.94787
15.1,12501.65366,11941.1268,13207.887,13207.887,103725.8045,104113.2628,12382.95394,13014.15785,33149.85774,45754.37352
15.2,12504.59732,11947.5762,13191.65803,13191.65803,103808.2978,104153.2911,12410.01484,13019.16139,33194.04046,45782.44385
15.3,12507.21851,11954.0092,13175.64742,13175.64742,103886.4621,104190.2056,12436.48995,13023.7757,33240.28432,45810.1633
15.4,12509.51805,11960.42069,13159.8588,13159.8588,103960.3779,104224.0764,12462.37452,13028.00955,33288.53239,45837.53626
15.5,12511.49702,11966.80572,13144.29522,13144.29522,104030.1263,104254.9734,12487.66452,13031.87167,33338.72778,45864.56706
15.6,12513.15673,11973.15951,13128.95922,13128.95922,104095.7894,104282.9662,12512.3566,13035.37078,33390.81366,45891.25997
15.7,12514.49875,11979.47748,13113.85286,13113.85286,104157.4496,104308.1243,12536.44812,13038.51554,33444.73337,45917.61922
15.8,12515.52488,11985.75521,13098.97776,13098.97776,104215.1901,104330.5165,12559.93711,13041.31456,33500.43043,45943.64898
15.9,12516.23712,11991.98847,13084.33509,13084.33509,104269.0942,104350.2115,12582.82222,13043.77643,33557.84862,45969.35337
16,12516.6377,11998.17321,13069.92561,13069.92561,104319.2455,104367.2774,12605.10276,13045.90967,33616.93199,45994.73645
16.1,12516.72904,12004.30553,13055.74974,13055.74974,104365.7278,104381.7818,12626.77861,13047.72272,33677.62495,46019.80224
16.2,12516.51376,12010.38172,13041.8075,13041.8075,104408.6249,104393.7919,12647.85025,13049.22399,33739.87226,46044.55472
16.3,12515.99467,12016.39824,13028.0986,13028.0986,104448.0206,104403.3742,12668.31872,13050.42178,33803.61911,46068.99778
16.4,12515.17476,12022.3517,13014.62244,13014.62244,104483.9986,104410.5948,12688.18561,13051.32435,33868.81116,46093.13531
16.5,12514.05718,12028.23891,13001.37812,13001.37812,104516.6423,104415.5188,12707.45301,13051.93985,33935.39455,46116.97112
16.6,12512.64523,12034.05681,12988.36448,12988.36448,104546.0348,104418.211,12726.12353,13052.27637,34003.31596,46140.50898
16.7,12510.94239,12039.80251,12975.58008,12975.58008,104572.2589,104418.7352,12744.20025,13052.3419,34072.52263,46163.75262
16.8,12508.95227,12045.4733,12963.02328,12963.02328,104595.3968,104417.1547,12761.6867,13052.14434,34142.9624,46186.70571
16.9,12506.6786,12051.06661,12950.6922,12950.6922,104615.5305,104413.5319,12778.58686,13051.69149,34214.58374,46209.37189
17,12504.12527,12056.58001,12938.58476,12938.58476,104632.741,104407.9284,12794.90511,13050.99106,34287.33577,46231.75474
17.1,12501.29627,12062.01125,12926.69871,12926.69871,104647.109,104400.4051,12810.64624,13050.05064,34361.16828,46253.8578
17.2,12498.19571,12067.35822,12915.0316,12915.0316,104658.7143,104391.022,12825.81542,13048.87775,34436.03178,46275.68458
17.3,12494.8278,12072.61893,12903.58086,12903.58086,104667.6359,104379.8381,12840.41814,13047.47976,34511.8775,46297.23852
17.4,12491.19685,12077.79157,12892.34375,12892.34375,104673.9521,104366.9117,12854.46027,13045.86396,34588.65742,46318.52304
17.5,12487.30727,12082.87445,12881.3174,12881.3174,104677.7405,104352.3002,12867.94797,13044.03753,34666.32429,46339.54151
17.6,12483.16355,12087.86601,12870.49883,12870.49883,104679.0774,104336.0601,12880.8877,13042.00751,34744.83164,46360.29724
17.7,12478.77025,12092.76485,12859.88495,12859.88495,104678.0385,104318.2468,12893.28621,13039.78084,34824.13381,46380.79352
17.8,12474.13201,12097.56968,12849.47258,12849.47258,104674.6984,104298.9149,12905.1505,13037.36436,34904.18595,46401.0336
